********************************************************************************
Field Output Report, written Tue Nov 29 15:46:59 2016

Source 1
---------

   ODB: C:/Software/SIMULIA/Temp/importrolling/importrolling_roll_flat.odb
   Step: Step-4
   Frame: Increment     13584: Step Time =   2.5001E-02

Loc 1 : Nodal values at CSHEARF  STREAD/SROAD from source 1

Output sorted by column "CSHEARF  STREAD/SROAD.FORCE1".

Field Output reported at nodes for part: PART-1-1

            Node  CSHEARF  STREAD/SROAD.Magnitude  CSHEARF  STREAD/SROAD.FORCE1  CSHEARF  STREAD/SROAD.FORCE2  CSHEARF  STREAD/SROAD.FORCE3
           Label          @Loc 1          @Loc 1          @Loc 1          @Loc 1
          106545              0.              0.              0.              0.
          106550              0.              0.              0.              0.
          107027              0.              0.              0.              0.
          107031              0.              0.              0.              0.
          107035              0.              0.              0.              0.
          107040              0.              0.              0.              0.
          107045              0.              0.              0.              0.
          107050              0.              0.              0.              0.
          107527              0.              0.              0.              0.
          107531              0.              0.              0.              0.
          107535              0.              0.              0.              0.
          107540              0.              0.              0.              0.
          107545              0.              0.              0.              0.
          107550              0.              0.              0.              0.
          108027              0.              0.              0.              0.
          108031              0.              0.              0.              0.
          108035              0.              0.              0.              0.
          108040              0.              0.              0.              0.
          108045              0.              0.              0.              0.
          108050              0.              0.              0.              0.
          108527              0.              0.              0.              0.
          108531              0.              0.              0.              0.
          108535              0.              0.              0.              0.
          108540              0.              0.              0.              0.
          108545              0.              0.              0.              0.
          108550              0.              0.              0.              0.
          109027              0.              0.              0.              0.
          109031              0.              0.              0.              0.
          109035              0.              0.              0.              0.
          109040              0.              0.              0.              0.
          109045              0.              0.              0.              0.
          109050              0.              0.              0.              0.
          109527              0.              0.              0.              0.
          109531              0.              0.              0.              0.
          109535              0.              0.              0.              0.
          109540              0.              0.              0.              0.
          109545              0.              0.              0.              0.
          109550              0.              0.              0.              0.
          110027              0.              0.              0.              0.
          110031              0.              0.              0.              0.
          110035              0.              0.              0.              0.
          110040              0.              0.              0.              0.
          110045              0.              0.              0.              0.
          110050              0.              0.              0.              0.
          110527              0.              0.              0.              0.
          110531              0.              0.              0.              0.
          110535              0.              0.              0.              0.
          110540              0.              0.              0.              0.
          110545              0.              0.              0.              0.
          110550              0.              0.              0.              0.
          111027              0.              0.              0.              0.
